Ticker,Sector,Window,Window_Days,N_Folds,N_Test_Samples,F1_Baseline,F1_Enhanced,Lift_%,Precision_Baseline,Precision_Enhanced,Recall_Baseline,Recall_Enhanced,DM_Stat,P_Value,Significant_Alpha?
MFPC.CA,Industrial,Reactionary,126,34,2142,0.4335677058105977,0.42623393084593936,-1.6914947461197902,0.45784443826986376,0.43715477051551654,0.4347069331113311,0.4493077187347912,-0.4087097282861415,0.6827935692095579,No
MFPC.CA,Industrial,Tactical,378,30,1890,0.4389157282770729,0.4539718365638255,3.430295912578498,0.44514596212420215,0.4639544487924951,0.45098146570747627,0.5031829701301752,0.6712638089696491,0.5021345585928887,No
MFPC.CA,Industrial,Strategic,756,24,1512,0.43810920471689724,0.4647702750995739,6.085485101803522,0.46824566355874975,0.4937558905165748,0.4340968163564726,0.5122700352928192,-0.37526570916536817,0.7075155346817099,No
OCDI.CA,Real Estate,Reactionary,126,98,6048,0.40924913049888206,0.4101071890637679,0.20966655783480012,0.4202657424328022,0.40753676070814776,0.44417971400002193,0.4626516421275368,0.1479022677298138,0.8824248297124275,No
OCDI.CA,Real Estate,Tactical,378,94,5922,0.44394838633283856,0.4456354830955481,0.3800209246497193,0.44383535737738994,0.441613630162337,0.48945309252225694,0.5315848085226232,-1.5113082605295116,0.1307632955286917,No
OCDI.CA,Real Estate,Strategic,756,88,5544,0.4584748923242786,0.45968805785011546,0.2646089341308497,0.46385508346378723,0.44779790420887705,0.4844389443671316,0.5198645052922477,-1.4494771200969994,0.14726095793321292,No
ORAS.CA,Real Estate,Reactionary,126,15,882,0.0,0.0,,0.0,0.0,0.0,0.0,15.162932504180018,0.0,Yes
ORAS.CA,Real Estate,Tactical,378,11,693,0.0,0.0,,0.0,0.0,0.0,0.0,36.976028259563314,0.0,Yes
ORAS.CA,Real Estate,Strategic,756,5,315,0.00909090909090909,0.0,-100.0,0.004651162790697674,0.0,0.2,0.0,16.96873448629334,0.0,Yes
ORHD.CA,Consumer,Reactionary,126,69,3402,0.3738946986575635,0.3729078393825952,-0.2639404298888189,0.37607161600461697,0.3919176262057473,0.4061459668724106,0.4295203760267511,1.170831594903795,0.24174850319644814,No
ORHD.CA,Consumer,Tactical,378,65,3402,0.35879020322466076,0.3640153221253512,1.456315934417716,0.3437723054377914,0.3419745952165207,0.4196367373421839,0.4605017540695669,-1.6503756163360965,0.09895847124376767,No
ORHD.CA,Consumer,Strategic,756,59,3402,0.3528758361124831,0.3698942801211255,4.822785316254306,0.3289115296568448,0.3363628228228795,0.4350044886251902,0.513521724337995,-1.9610204229340897,0.049958128002678404,Yes
PHDC.CA,Real Estate,Reactionary,126,67,4221,0.4382545256150873,0.41668286614057304,-4.92217609030702,0.46228767173109286,0.43968613013592095,0.4632957496879853,0.4482738502100405,1.147387546029927,0.25128653018504554,No
PHDC.CA,Real Estate,Tactical,378,63,3969,0.44688976466606156,0.44260975765292965,-0.9577321638436159,0.46464709854060005,0.45360034894716844,0.45836671697432846,0.49059181172186167,-1.7050783849539657,0.08825807979267553,No
PHDC.CA,Real Estate,Strategic,756,57,3591,0.4470698226384627,0.4629726809203961,3.5571307828562153,0.47360728745163827,0.467662061944134,0.44677786253516366,0.5112652853619118,-1.428530400836769,0.1532262445906698,No
SAUD.CA,Banking,Reactionary,126,98,5985,0.3580203374241184,0.331695224822285,-7.352965697769321,0.37508073448359885,0.3416231482306522,0.3965236149150449,0.385569596763123,0.799994432937299,0.42374577889753473,No
SAUD.CA,Banking,Tactical,378,94,5922,0.3827381733956009,0.3622627255892793,-5.349727105782582,0.3882009577608541,0.3553489017321837,0.4194697919972285,0.43155726778946957,-0.8445549719456114,0.3983934808677052,No
SAUD.CA,Banking,Strategic,756,88,5544,0.4095891896054189,0.4074296350607805,-0.5272489117007269,0.406016797242458,0.3847084556288515,0.4658497134272706,0.5286943963372847,-3.0019657108201683,0.002694382486255309,Yes
SKPC.CA,Industrial,Reactionary,126,79,4977,0.4667179688286959,0.4436493285576227,-4.942736687204839,0.4881232991666286,0.48121791312111895,0.4874483650235743,0.4742876600108028,-0.8446696621462945,0.39833591093488074,No
SKPC.CA,Industrial,Tactical,378,75,4725,0.47032877649516774,0.46117214442849785,-1.9468577140663148,0.4797887635508646,0.48138604559001325,0.4939354991363436,0.49469128864007617,-0.6235591664120971,0.5329472399672543,No
SKPC.CA,Industrial,Strategic,756,69,4347,0.4836241709688059,0.4795645931073581,-0.8394075617261959,0.48405780097622436,0.4876320948701445,0.5143422152520047,0.541654403951207,-0.3050953216482461,0.7603081643250498,No
SWDY.CA,Industrial,Reactionary,126,75,4725,0.45904202561012625,0.4355021906093517,-5.128034839399959,0.46359552945134247,0.46753288229850765,0.48024550938269744,0.4543807834007547,1.9560563762009944,0.05051736351832048,No
SWDY.CA,Industrial,Tactical,378,71,4473,0.47140148979111846,0.4542335319447655,-3.641897240070284,0.47238438884236456,0.4657210134937032,0.49582169823829064,0.4981599011036396,0.8668259137059259,0.38608390730208964,No
SWDY.CA,Industrial,Strategic,756,65,4095,0.4539974428919117,0.4503186696934184,-0.8103070305991016,0.4581725756503947,0.4648163326329895,0.4727898952236679,0.4872644399615617,1.651994781507667,0.09861230144563504,No
