Ticker,Sector,Window,Window_Weeks,N_Folds,N_Test,F1_Tech,AUC_Tech,Precision_Tech,Recall_Tech,F1_Enhanced,AUC_Enhanced,Precision_Enhanced,Recall_Enhanced,F1_Lift_%,AUC_Lift_%,DM_Stat,P_Value,Significant
FWRY.CA,Financial Services,Long,104,17,221,0.37433306237258157,0.430765639589169,0.37722816399286985,0.40889355742296923,0.46307974032887533,0.5207282913165266,0.5130485527544352,0.4541549953314659,23.707945377253996,20.884361114121603,1.7711032079400064,0.0779280983416537,No
GBCO.CA,Holdings,Short,26,72,936,0.5003457974916954,0.5179829044412377,0.49400325754492425,0.5962281545614879,0.4660417527709839,0.5302404000320666,0.5129895181978514,0.5331930415263749,-6.856067322376348,2.366389988111941,3.2750560423485857,0.0010952238985775242,Yes
GBCO.CA,Holdings,Medium,52,70,910,0.49187182233953575,0.5121418264275408,0.48508685758685754,0.5784183673469386,0.483316983463946,0.5184070294784581,0.5131917685489114,0.5622083075654504,-1.7392415029792812,1.2233336016744347,1.265977465616045,0.20584550249800948,No
GBCO.CA,Holdings,Long,104,66,858,0.5120128248189042,0.5316634964362237,0.5208387992478902,0.5720413004503914,0.49901450484760357,0.5327807293716385,0.5191017316017316,0.5650230661594298,-2.538670779564566,0.21013910921168313,0.9025701005275569,0.3670077051661458,No
HDBK.CA,Banking,Short,26,97,1235,0.4702663295461078,0.5246886154780892,0.5257967763230921,0.5127162603478393,0.4618680437842894,0.5228001822738666,0.4832309795467691,0.5107032733348522,-1.7858573395897297,-0.3599150331291048,2.067960711221434,0.03885171420398659,Yes
HDBK.CA,Banking,Medium,52,95,1235,0.45630600854977577,0.5211828814460394,0.5102197802197802,0.5032380192906509,0.45591503937194017,0.5543646996278575,0.5003528050896471,0.48745841877420826,-0.08568135648228042,6.366636235202895,2.9975293412354187,0.002776209995620116,Yes
HDBK.CA,Banking,Long,104,91,1183,0.4510388548084598,0.5046532832247118,0.4830903223760366,0.4899877899877899,0.46442112749141623,0.5186428650714364,0.5099027956170813,0.4894494394494394,2.9669888836161173,2.7721174738687537,1.322209694842068,0.18635413148563718,No
HELI.CA,Real Estate,Short,26,98,1261,0.3908558222991212,0.49657249966528316,0.43490132433431405,0.47244053197661445,0.45044211956056446,0.5334274259531991,0.48964843861751073,0.5097264991594889,15.24508370143761,7.421862127435208,6.845110592625248,1.1903145136216153e-11,Yes
HELI.CA,Real Estate,Medium,52,96,1248,0.40741859726960344,0.5086166726791727,0.47819177350427355,0.45559463684463686,0.42287625201953766,0.5444718765031266,0.4623493115680615,0.4752427549302549,3.7940474130358193,7.049553376825853,4.23452048946918,2.458560030138557e-05,Yes
HELI.CA,Real Estate,Long,104,92,1196,0.41805269716075344,0.5043246910094737,0.5047386188690536,0.44302065687935255,0.4332561195067925,0.5368914298262125,0.4753231068448459,0.4649840799297321,3.6367238985167685,6.457494427162006,3.5517778930129507,0.00039753161290456696,Yes
